,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
24,Pablo Monje,ar ARG,MF,27-027,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,DeportivoRiestra
25,Enzo Avaro,ar ARG,DF,24-291,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.31,0.00,0.31,Matches,DeportivoRiestra
26,Gabriel Cañete,ar ARG,"DF,FW",25-010,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,DeportivoRiestra
27,Gustavo Benítez,ar ARG,DF,37-363,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,DeportivoRiestra
28,Maximiliano Brito,uy URU,FW,32-229,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,DeportivoRiestra
29,Juan Dobboletta,ar ARG,GK,31-058,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,DeportivoRiestra
30,Nahuel Manganelli,ar ARG,GK,23-014,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,DeportivoRiestra
31,Delfor Minervino,ar ARG,DF,27-329,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,DeportivoRiestra
32,Yaison Murillo,co COL,DF,30-110,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,DeportivoRiestra
33,Samuel Portillo,py PAR,FW,29-307,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,DeportivoRiestra
34,Squad Total,,,31.0,8,88,720,8.0,3,3,6,3,0,0,20,0,4.4,4.4,2.9,7.3,54,168,170,0.37,0.37,0.75,0.37,0.75,0.55,0.36,0.91,0.55,0.91,,DeportivoRiestra
35,Opponent Total,,,27.4,8,88,720,8.0,11,8,19,11,0,0,8,2,11.7,11.7,8.7,20.4,140,347,333,1.37,1.00,2.37,1.37,2.37,1.47,1.09,2.56,1.47,2.56,,DeportivoRiestra
