,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
24,Álvaro Montoro,ar ARG,FW,16-323,1,0,3,0.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,2,0.00,30.00,30.00,0.00,30.00,0.00,6.58,6.58,0.00,6.58,Matches,VelezSarsfield
25,Tomás Cavanagh,ar ARG,DF,23-060,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,VelezSarsfield
26,Braian Cufré,ar ARG,"DF,MF",27-081,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,VelezSarsfield
27,Matías De los Santos,uy URU,DF,31-104,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,VelezSarsfield
28,Lautaro Garzón,ar ARG,GK,20-219,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,VelezSarsfield
29,Patricio Pernicone,ar ARG,DF,22-245,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,VelezSarsfield
30,Alejo Sarco,ar ARG,FW,18-034,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,VelezSarsfield
31,Sebastián Sosa,uy URU,GK,37-199,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,VelezSarsfield
32,Squad Total,,,27.5,8,88,720,8.0,9,8,17,8,1,1,17,0,10.3,9.6,7.8,17.4,149,318,315,1.13,1.00,2.12,1.00,2.00,1.28,0.98,2.26,1.20,2.18,,VelezSarsfield
33,Opponent Total,,,27.8,8,88,720,8.0,11,9,20,11,0,0,22,1,8.3,8.3,5.9,14.2,82,218,217,1.37,1.13,2.50,1.37,2.50,1.04,0.73,1.77,1.04,1.77,,VelezSarsfield
