,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
24,Federico Moreno,ar ARG,MF,20-323,1,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches,IndependienteRivadavia
25,Mateo Ortale,ar ARG,DF,21-351,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,IndependienteRivadavia
26,Fernando Arce,py PAR,DF,26-153,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,IndependienteRivadavia
27,Francisco Maidana,ar ARG,MF,22-066,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,IndependienteRivadavia
28,Mariano Monllor,ar ARG,GK,35-005,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,IndependienteRivadavia
29,Luciano Paz,ar ARG,MF,22-363,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,IndependienteRivadavia
30,Emiliano Saliadarre,ar ARG,FW,21-304,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,IndependienteRivadavia
31,Fabrizio Sartori,ar ARG,FW,21-233,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,IndependienteRivadavia
32,Diego Tonetto,ar ARG,MF,35-090,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,IndependienteRivadavia
33,Hugo Valdez,py PAR,"FW,MF",28-268,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,IndependienteRivadavia
34,Squad Total,,,30.3,8,88,720,8.0,8,7,15,8,0,0,23,1,7.0,7.0,6.2,13.2,93,221,202,1.00,0.87,1.87,1.00,1.87,0.88,0.77,1.65,0.88,1.65,,IndependienteRivadavia
35,Opponent Total,,,27.7,8,88,720,8.0,15,9,24,15,0,0,22,1,12.3,12.3,9.2,21.5,121,292,295,1.87,1.13,3.00,1.87,3.00,1.53,1.15,2.69,1.53,2.69,,IndependienteRivadavia
